tmdbId,title,overview,cast,director
514547,White Chamber,"The United Kingdom. Soon. Civil war rages. A woman wakes up in a blindingly white cuboid cell. Using its sophisticated functionality, her captor tortures her for information; information she claims not to have - or does she?","Shauna Macdonald,Oded Fehr,Amrita Acharia",
532671,The Prodigy,A mother concerned about her young son's disturbing behavior thinks something supernatural may be affecting him.,"Taylor Schilling,Jackson Robert Scott,Colm Feore",Nicholas McCarthy
533534,Aurora,The passenger ship Aurora mysteriously collides into the rocky sea threatening an entire island. A young woman and her sister must both survive by finding the missing dead for a bounty.,"Anne Curtis,Allan Paule,Mercedes Cabral",
522681,Escape Room,"Six strangers find themselves in circumstances beyond their control, and must use their wits to survive.","Taylor Russell,Logan Miller,Deborah Ann Woll",Adam Robitel
458723,Us,"Husband and wife Gabe and Adelaide Wilson take their kids to their beach house expecting to unplug and unwind with friends. But as night descends, their serenity turns to tension and chaos when some shocking visitors arrive uninvited.","Lupita Nyong'o,Winston Duke,Shahadi Wright Joseph",
551300,Suzzanna: Bernapas Dalam Kubur,Satria's employees intend to rob his house when he is out of the country but their robbery turns into murder when they find Suzzanna in the house as they bury her body in the backyard.,"Luna Maya,Herjunot Ali,Asri Welas",Anggy Umbara
541560,The Wind,"Lizzy is a tough, resourceful frontierswoman settling a remote stretch of land on the 19th-century American frontier. Isolated from civilization in a desolate wilderness where the wind never stops howling, she begins to sense a sinister presence that seems to be borne of the land itself, and when a newlywed couple arrive at a nearby homestead, their presence amplifies Lizzy's fears, setting into motion a shocking chain of events.","Caitlin Gerard,Ashley Zukerman,Julia Goldani Telles",Emma Tammi
369196,I Spit on Your Grave: DÃ©jÃ  Vu,"Following her rape, Jennifer Hills wrote a bestselling account of her ordeal and of the controversial trial in which she was accused of taking the law into her own hands and brutally killing her assailants. In the small town where the rape and revenge took place, the relatives of the rapists she killed are furious that the court declared her not guilty and resolve to take justice into their own hands.","Camille Keaton,Jamie Bernadette,Maria Olsen",
448976,Saint Bernard,A classical musical conductor unravels into the abyss of insanity.,"Jason Dugre,Katy Sullivan,Peter Iasillo Jr.",
448432,The Convent,"During the 17th century, a young woman is saved from execution and led to a priory to repent her sins but discovers a greater evil lies within.","Michael Ironside,Hannah Arterton,Clare Higgins",
412157,A Dark Place,"When a young boy turns up dead in a sleepy Pennsylvania town, a local sanitation truck driver, Donald, plays detective, embarking on a precarious and obsessive investigation to prove the boy was murdered.","Andrew Scott,Bronagh Waugh,Denise Gough",Simon Fellows
157433,Pet Sematary,"Dr. Louis Creed and his wife, Rachel, move from Boston to Ludlow, in rural Maine, with their two young children. Hidden in the woods near the new family home, Ellie, their eldest daughter, discovers a mysterious cemetery where the pets of community members are buried.","Jason Clarke,Amy Seimetz,John Lithgow",Dennis Widmyer
552737,ç²½é‚ª,"Hoping to make a viral video by streaming a mysterious rope ritual, a couple falls into a deadly curse instead that turns their lives upside down.","Hsia Yu-chiao,Vicci Pan,Tou Chung-Hua",Liao Shih-Han
471506,Greta,A young woman befriends a lonely widow who's harboring a dark and deadly agenda toward her.,"ChloÃ« Grace Moretz,Isabelle Huppert,Maika Monroe",
589173,Derelict,Three friends find themselves fighting for their lives when their urban exploration goes horribly wrong,"Tristan Balz,James Broadhurst,Christopher Sansoni",Cristian Broadhurst
411144,We Have Always Lived in the Castle,"In Shirleyville, Vermont, during the sixties, sisters Merricat and Constance, along with their ailing uncle Julian, confined to a wheelchair, live isolated in a big mansion located on the hill overlooking the town, tormented by the memories of a family tragedy occurred six years ago. The arrival of cousin Charles will threaten the fragile equilibrium of their minds, haunted by madness, fear and superstition.","Taissa Farmiga,Alexandra Daddario,Crispin Glover",
597900,High Moon,"A soldier turned gunfighter rises from the grave only to find himself in a modern time where the same werewolf outlaw gang that brutally murdered his wife are running rampant. Aided by a beautiful widow, a broken down sheriff, and a corrupt Mayor, Colt must face the blood thirsty creatures once again to save a small sleepy southern town.","Chad Michael Collins,Chelsea Edmundson,Sean Patrick Flanery",
531309,Brightburn,"What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?","Jackson A. Dunn,Elizabeth Banks,David Denman",David Yarovesky
528985,Assimilate,Three friends making a web series about their town discover that their neighbors are being killed and replaced by creatures who are perfect copies of their victims.,"Andi Matichak,Cam Gigandet,Calum Worthy",
529962,The Perfection,"When troubled musical prodigy Charlotte seeks out Elizabeth, the new star pupil of her former school, the encounter sends both musicians down a sinister path with shocking consequences.","Allison Williams,Logan Browning,Steven Weber",
608108,Hallowed Ground,"A married couple, trying to rebuild their relationship after an affair, travels to a secluded cabin and stumbles into a blood feud between the Native American owners of the property and the neighboring clan, who obsessively guard their land and punish those who trespass on it in terrifying ways.","Sherri Eakin,Miles Doleac,Ritchie Montgomery",
552504,Zoo,A couple trying to save their marriage during a zombie apocalypse.,"ZoÃ« Tapper,Ed Speleers,Antonia Campbell-Hughes",
541100,Thriller,"Years after a childhood prank goes horribly wrong, a clique of South Central LA teens find themselves terrorized during Homecoming weekend by a killer hell-bent on revenge.","Jessica Allain,Luke Tennie,Mitchell Edwards",
600892,The Odds,"A young woman enlists in an underground game of pain endurance in the hope of winning the million dollar prize. She soon learns the real opponent is the man who's running the game, as he employs horrific methods to manipulate and defeat her.","Abbi Butler,James J. Fuertes,Katie Gunn",
569889,Dark Highlands,"A Japanese artist visits the Highlands of Scotland to paint, but becomes the target of a sadistic killer. Alone, suffering from exposure and hunted, he must find a way to survive.",,
480414,The Curse of La Llorona,A social worker dealing with the disappearance of two children fears for her own family after beginning the investigation.,"Linda Cardellini,Raymond Cruz,Patricia VelÃ¡squez",Michael Chaves
553141,The Head Hunter,"On the outskirts of a kingdom, a quiet but fierce medieval warrior protects the realm from monsters and the occult. His gruesome collection of heads is missing only one - the monster that killed his daughter years ago. Driven by a thirst for revenge, he travels wild expanses on horseback. When his second chance arrives, itâ€™s in a way far more horrifying than he ever imagined.","Christopher Rygh,Cora Kaufman,Aisha Ricketts",
501954,Scary Stories,"A documentary about children's horror classic Scary Stories to Tell in the Dark. It includes the author's family, scholars, folklorists, artists, and children's book authors such as R.L. Stine, Q.L. Pearce, and more.","R.L. Stine,Amelia Cotter,Alvin Schwartz",Cody Meirick
376865,High Life,A father and his daughter struggle to survive in deep space where they live in isolation.,"Robert Pattinson,Juliette Binoche,AndrÃ© 3000",
535581,The Dead Don't Die,"In a small peaceful town, zombies suddenly rise to terrorize the town. Now three bespectacled police officers and a strange Scottish morgue expert must band together to defeat the undead.","Bill Murray,Adam Driver,Tilda Swinton",
556509,ì‚¬ë°”í•˜,"Pastor Park is head of a religious investigation center that exposes cults and cult leaders. While looking into a suspicious new religion called â€˜Deer Mount,â€™ he slowly uncovers clues that connect this cult to a series of mysterious cases of missing teenage girls when a body is found inside a damaged tunnel beams. He begins to uncover dark secrets surrounding this cult and its enforcer Na-han.","Lee Jung-jae,Park Jeong-min,Lee Jae-in",
431075,Polaroid,"High school loner Bird Fitcher has no idea what dark secrets are tied to the mysterious Polaroid vintage camera she stumbles upon, but it doesn't take long to discover that those who have their picture taken meet a tragic end. Bird and her friends must survive one more night as they race to solve the mystery of the haunted Polaroid before it kills them all.","Kathryn Prescott,Tyler Young,Samantha Logan",Lars Klevberg
533642,Child's Play,"Karen, a single mother, gifts her son Andy a Buddi doll for his birthday, unaware of its more sinister nature. A contemporary re-imagining of the 1988 horror classic.","Aubrey Plaza,Gabriel Bateman,Brian Tyree Henry",Lars Klevberg
573106,Mata Batin 2,"After her sister died, Alia decides to start a new life by living in an orphanage owned by Mrs Laksmi and Mr Fadli as well as doing social work there. But Alia feels something wrong with the orphanage. Moreover, Nadia, one of the orphanage who apparently also has an inner eyes like Alia, can hears mysterious voices asking for help from all over the walls of the house. Alia and Nadia open a mysterious locked room. Since then disasters begin. It turns out that Alia and Nadia had made a big mistake and releases Darmah, a vengeful spirit that was deliberately locked in the room. Together with Mrs Windu, the paranormal and mentor of her inner eyes, Alia must confront Darmah and save the orphanage.","Jessica Mila,Nabilah Ratna Ayu,Sophia Latjuba",
480100,Nightmare Cinema,"A series of down-on-their-luck individuals enter the decrepit and spine-chilling Rialto theater, only to have their deepest and darkest fears brought to life on the silver screen by The Projectionist â€“ a mysterious, ghostly figure who holds the nightmarish futures of all who attend his screenings.","Mickey Rourke,Sarah Elizabeth Withers,Elizabeth Reaser",Joe Dante
586467,Rakkhosh,The movie explores the horrors and fantasies of a patient trapped in a mental asylum.,"Priyanka Bose,Tannishtha Chatterjee,Sanjay Mishra",Abhijit Kokate
532656,Perfect Skin,"Katia, a young Polish woman adrift in London, meets Bob, an American tattoo artist. Katia is drawn to his mysterious aura and the taboo culture of body modification, but Bob has a dark, secret desire to leave his mark on the world and little does Katia know that her fascination with him will put her life in danger.","Richard Brake,Natalia Kostrzewa,Jo Woodcock",
587488,à¹à¸ªà¸‡à¸à¸£à¸°à¸ªà¸·à¸­,"In a far-away village, lived an innocent teenage girl, Sai, who later discovered herself inheriting the curse of Krasue. At night, her head would detach from her body and hunts for flesh and blood. Villagers are terrified by the deaths of their livestocks and that is when the Krasue hunt begins. Jerd, a friend joined the hunt with an unknown reason while Noi, the childhood friend who had just came back to the village decided to stand beside Sai despite knowing the horrifying truth.","Phantira Pipityakorn,Oabnithi Wiwattanawarang,Sapol Assawamunkong",
542713,Starfish,A girl grieves the loss of her best friend as the world comes to an end.,"Virginia Gardner,Christina Masterson,Eric Beecroft",
498934,ãƒŸã‚¹ãƒŸã‚½ã‚¦,"The story follows Nozaki Haruka, a middle school student who transfers to a new school in a small town because of her father's work. Unfortunately, she becomes a victim of horrific bullying, but since the school will be closing in 2 months after graduation, no one is willing to help her.","Anna Yamada,Hiroya Shimizu,Rinka Otani",Eisuke Naito
577889,Feedback,A radio host is kidnapped on air and forced to tell secrets about his past.,"Eddie Marsan,Paul Anderson,Ivana Baquero",
532647,Trespassers,"Two dysfunctional couples rent a modern luxury desert home for the weekend hoping to sort out their messed-up lives. Just as they are about to settle in for a fun night, a neighbor turns up at their front door saying she has car trouble. But soon they discover the person they let into their home may have nefarious intents.","Angela Trimbur,Janel Parrish,Jonathan Howard",Orson Oblowitz
612587,A.M.I.,A seventeen year old girl forms a co-dependent relationship with an artificial intelligence on her phone and goes on a murderous rampage.,"Debs Howard,Philip Granger,Bonnie Hay",
529149,Darlin',"Found at a Catholic hospital filthy and ferocious, feral teenager Darlinâ€™ is whisked off to a care home run by The Bishop and his obedient nuns, where sheâ€™s to be rehabilitated into a ""good girl"" as an example of the miraculous work of the church. But Darlinâ€™ holds a secret darker than the ""sins"" she is threatened with, and she is not traveling alone. The Woman who raised her, equally fierce and feral, is ever present in the shadows of Darlinâ€™s psyche and is determined to come for her no matter who tries to get in her way.","Lauryn Canny,Bryan Batt,Nora-Jane Noone",
455605,HeilstÃ¤tten,"Group of Youtubers enter an abandoned surgery ward for 24-hour challenge, hoping to go viral. They will soon learn that they're not welcome.","Sonja Gerhardt,Tim Oliver Schultz,Lisa-Marie Koroll",Martin Goeres
545698,"Â¿Eres tÃº, papÃ¡?","When her father goes missing, 13 year old Lili uses a spiritual ritual to find him but she gets it wrong and her life turns into a nightmare.","Gabriela Ramos,Lynn Cruz,Osvaldo DoimeadiÃ³s",
511987,Crawl,"When a huge hurricane hits her hometown in Florida, Haley ignores evacuation orders to look for her father. After finding him badly wounded, both are trapped by the flood. With virtually no time to escape the storm, they discover that rising water levels are the least of their problems.","Kaya Scodelario,Barry Pepper,Morfydd Clark",Alexandre Aja
420477,Insomnium,"Long time friends George and Phinneas share a duplex in Los Angeles. Their Russian landlord, Mr. Romanovsky lives in the upstairs unit. George's girlfriend Kim and her friend Olivia come over and after some drinking, they bring out a Ouija board. That night, Phinneas begins to exhibit disturbing nocturnal behaviour. As George investigates more into his friends behaviour, he suspects  that his friend has become possessed by a dark entity","Brad Pennington,Clint Browning,Gena Shaw",
530385,Midsommar,"Several friends travel to Sweden to study as anthropologists a summer festival that is held every ninety years in the remote hometown of one of them. What begins as a dream vacation in a place where the sun never sets, gradually turns into a dark nightmare as the mysterious inhabitants invite them to participate in their disturbing festive activities.","Florence Pugh,Jack Reynor,William Jackson Harper",
621103,Pentagram,A group of teenagers must somehow survive the night when they find themselves trapped within a pentagram. To stay inside the candlelit confines means safety; to escape means certain death at the hands of a mysterious entity.,"Chloe Farnworth,Michael McKell,Nicholas Ball",
543768,Gwen,A mysterious â€” and suspicious â€” run of ill fortune plagues a teenage girl and her mother and sister on their hillside farm in this folk story set in the dark hills of Wales during the industrial revolution.,"Eleanor Worthington-Cox,Maxine Peake,Richard Harrington",
579386,Darker than Night,"Sloan Carter is a young girl who has recently been blinded. Her father leaves for the weekend and her two best friends, returning home from University, keep her company. A protege of her father's, passing through town, also spends the night. The peaceful weekend is interrupted by a shadowy threat and the safe country getaway turns into a fight for survival.","Bea Santos,Atticus Mitchell,Erik Knudsen",
480105,47 Meters Down: Uncaged,"Four teenage girls go on a diving adventure to explore a submerged Mayan city. Once inside, their rush of excitement turns into a jolt of terror as they discover the sunken ruins are a hunting ground for deadly great white sharks. With their air supply steadily dwindling, the friends must navigate the underwater labyrinth of claustrophobic caves and eerie tunnels in search of a way out of their watery hell.","Sophie NÃ©lisse,Corinne Foxx,Brianne Tju",
524786,"Empathy, Inc.","Desperate to get back on top, venture capitalist Joel meets Nicolaus and Lester, entrepreneurs seeking investors for Empathy, Inc., a virtual reality startup offering realistic and moving experiences for users by placing them in the lives of the less fortunate. Joel gets the startup its funds but soon discovers the tech's creators have a far more insidious agenda.","Zack Robidas,Kathy Searle,Jay Klaitz",
506775,Nekrotronic,A man discovers that he is part of a secret sect of magical beings who hunt down and destroy demons in the internet.,"Ben O'Toole,Monica Bellucci,David Wenham",
600184,The Nest (Il nido),"Samuel, a boy who lives with his mother Elena in Villa dei Laghi, an isolated manor surrounded by woods, feels trapped in the family routine, growing up seemingly protected, but unsatisfied and restless.","Francesca Cavallin,Ginevra Francesconi,Justin Alexander Korovkin",
513372,Hoax,"An investigation into a camping trip gone wrong turns into a fight for survival when a team, including a brilliant primate specialist and led by a ruthless television producer, must come to grips with the possible existence of Bigfoot.","Adrienne Barbeau,Brian Thompson,Ben Browder",
456529,Jacob's Ladder,"After losing his brother in combat, Jacob Singer returns home from Afghanistan -- only to be pulled into a mind-twisting state of paranoia. Singer soon realizes that his sibling is alive but life is not what it seems.","Michael Ealy,Jesse Williams,Nicole Beharie",David M. Rosenthal
520905,Tone-Deaf,"A woman leaves for a quiet weekend in the country after losing her job and imploding her latest dysfunctional relationship.  She rents a country house from an old-fashioned widower whoâ€™s struggling to hide his psychopathic tendencies. Soon, two generations collide with terrifying results.","Amanda Crew,Robert Patrick,Hayley Marie Norman",
500535,Seven in Heaven,Sixteen year old Jude discovers each and every one of his fears is true.,"Travis Tope,Jacinda Barrett,Gary Cole",
475220,In Fabric,"A haunting ghost story set against the backdrop of a busy winter sales period in a department store, following the life of a cursed dress as it passes from person to person, with devastating consequences.","Marianne Jean-Baptiste,Sidse Babett Knudsen,Julian Barratt",
533284,è¡€åä¸‰,"A reckless female detective, Xingmin, when investigating a murder case, finds the victim dead naked, hung upside down in the basement bathroom. Old detective Laozhou assures that this is one of the prostitute serial murder cases that he has been after for 15 years. As Xingmin tracks down the murderer, she has to deal with her inner prejudice against prostitutes caused by her traumatizing childhood memory, while irresistibly resonate to the murderer herself. To breakthrough the case, she needs to conquer her nightmare and risk herself to uncover the truth.","Huang Lu,Xie Gang,Bo Qian",Candy Li
602518,Il signor Diavolo,"Italy, 1952. The young official Furio MomentÃ© is sent to Veneto region, near Polesine, to investigate a shocking and mysterious case: a minor has in fact killed one of his peers claiming to have killed the devil himself.","Gabriel Lo Giudice,Filippo Franchini,Massimo Bonetti",
474350,It Chapter Two,"27 years after overcoming the malevolent supernatural entity Pennywise, the former members of the Losers' Club, who have grown up and moved away from Derry, are brought back together by a devastating phone call.","Bill SkarsgÃ¥rd,James McAvoy,Jessica Chastain",Andy Muschietti
575776,Saint Maud,"Having recently found God, self-effacing young nurse Maud arrives at a plush home to care for Amanda, a hedonistic dancer left frail from a chronic illness. When a chance encounter with a former colleague throws up hints of a dark past, it becomes clear there is more to sweet Maud than meets the eye.","Morfydd Clark,Jennifer Ehle,Lily Frazer",
549294,Synchronic,"Two New Orleans paramedics' lives are ripped apart after encountering a series of horrific deaths linked to a designer drug with bizarre, otherworldly effects.","Anthony Mackie,Jamie Dornan,Katie Aselton",Aaron Moorhead
400090,The Nightingale,"In 1825, Clare, a 21-year-old Irish convict, chases a British soldier through the rugged Tasmanian wilderness, bent on revenge for a terrible act of violence he committed against her family. She enlists the services of an Aboriginal tracker who is also marked by trauma from his own violence-filled past.","Aisling Franciosi,Sam Claflin,Baykali Ganambarr",
500656,A Good Woman Is Hard to Find,"The recently widowed mother of two, Sarah, is desperate to know who murdered her husband in front of her young son, rendering him mute. Coerced into helping a low-life drug dealer stash narcotics stolen from the local Mr. Big, she's forced into taking drastic action to protect her children, evolving from downtrodden submissive to take-charge vigilante.","Sarah Bolger,Edward Hogg,Andrew Simpson",Abner Pastoll
549859,The Dead Center,"When a mysterious ""John Doe"" wakes up in a morgue and wanders into a psychiatric ward, a devoted doctor and curious medical examiner must slowly uncover dark and sinister secrets about the man that reveal a more horrifying truth than they could have ever imagined.","Shane Carruth,Poorna Jagannathan,Jeremy Childs",
574030,Here Comes Hell,"In the 30s, a sophisticated soiree at an isolated country mansion descends into carnage, gore and demonic possession as rivalries and old friendships are put to the test when a gateway to Hell opens up.","Margaret Clunie,Nicholas Le Prevost,Robert Llewellyn",
384756,Rabid,"The quiet Rose works in women's fashion clothing, hoping to be a designer. A traffic accident damages her face. She gets experimental stem cell treatment, leaving her stronger and prettier than ever - but there's a side effect.","Laura Vandervoort,Benjamin Hollingsworth,Ted Atherton",
551994,The Shed,"The story of Stan, an orphaned teenager stuck living with his abusive grandfather and tasked with routinely protecting his best friend from high school bullies. When Stan discovers a murderous creature has taken refuge inside the tool shed in his backyard, he tries to secretly battle the demon alone until his bullied friend discovers the creature and has a far more sinister plan in mind.","Jay Jay Warren,Cody Kostro,Sofia Happonen",
412546,Antrum,"Rumored to have been lost, Antrum appears as a cursed film from the 1970s. Viewers are warned to proceed with caution. Itâ€™s said to be a story about a young boy and girl who enter the forest in an attempt to save the soul of their recently deceased pet. They journey to â€œThe Antrum,â€ the very spot the devil landed after being cast out of heaven. There, the children begin to dig a hole to hell.","Nicole Tompkins,Rowan Smyth,Dan Istrate",
580630,Girl on the Third Floor,"Don Koch tries to renovate a rundown mansion with a sordid history for his growing family, only to learn that the house has other plans.","Phil Brooks,Trieste Kelly Dunn,Sarah Brooks",
